418,1.4,3.2,0
73,2.6,3.4,0
632,2.2,3.7,0
227,1,2.8,0
581,3.1,1.2,0
503,2.8,2.9,0
839,1,2.5,0
107,0.2,0.4,0
324,0.1,3.7,0
566,3.3,3.9,1
76,1.4,3.2,0
527,1.8,2.2,0
715,1.3,3.6,0
705,1.2,3.5,0
143,4.3,4.1,1
273,1.3,3.5,0
802,1.7,3,0
706,2,4.9,1
276,0.8,1.3,0
6,2.3,4.4,1
819,4.4,4.3,1
289,1.4,1.1,0
203,4,3.9,1
601,2.6,3.4,0
570,0.1,3.3,0
445,3.9,4.6,1
698,0.8,3.9,0
393,3.1,4.9,1
340,3.2,3.3,1
614,2.9,3.6,1
215,0.6,3.7,0
562,2.5,3.2,0
807,2.4,3.6,0
359,2.1,3.7,0
523,2.7,4.8,1
515,0.2,4.1,0
47,0,4.8,0
113,1.5,2.8,0
684,2.3,4.8,1
407,1.7,4.8,1
315,1.1,3.7,0
781,2,4,1
21,3.9,1.8,0
20,1.4,3.9,0
38,1,4.1,0
345,0.7,3.8,0
738,2.5,3.7,1
326,3.4,4.8,1
425,3.9,2.2,0
691,1.7,1.7,0
556,2.9,2.2,0
856,1.6,5,1
582,2.4,1.9,0
235,2.3,1.8,0
45,1.6,1.3,0
352,2.8,4.1,1
288,1.9,2.4,0
395,2,2.2,0
376,1.9,2.3,0
90,2.2,2.3,0
52,3,3.7,1
529,3.8,2,0
101,0.9,2.8,0
197,0.6,3.5,0
186,1.3,3.9,0
172,2.6,3.3,0
615,1.7,3.6,0
3,3.2,2.8,0
92,1.7,4.1,0
557,1,2.8,0
720,0.7,2.2,0
850,4.5,3.2,1
112,2.3,3.8,1
657,0.3,3.5,0
531,1.1,3.3,0
159,1.6,4,0
466,3.3,2,0
870,0.6,3.7,0
516,2,0.7,0
610,0.1,1.8,0
607,1.6,4.1,0
809,3.8,1.9,0
651,0.6,3.5,0
506,2.1,3.7,0
883,2.7,2.5,0
703,0.3,3.3,0
676,2.5,1.9,0
175,2.7,1.8,0
660,0.2,2.8,0
207,2.3,3.3,0
131,3.2,3.3,1
136,2.6,2.3,0
893,0.1,3.9,0
722,4.5,2.5,1
271,2.6,4.9,1
697,3.4,3.2,1
713,4.7,1.8,1
784,0.1,3.2,0
53,3.2,3.3,1
576,3.8,3.8,1
145,0.3,2.2,0
60,1.9,3.6,0
108,1.2,2.9,0
894,2.3,2.8,0
700,4.6,4,1
451,3.9,2.4,1
313,3,0.3,0
191,3.5,4.7,1
151,2.8,2.8,0
655,2.3,4.9,1
879,2.2,2.9,0
544,1.3,2.2,0
583,1.7,5,1
150,3.8,4.2,1
148,1.6,1.8,0
361,0.8,3.1,0
668,2.2,1.3,0
